tdate[yyyy-mm-dd HH:MM:SS],time[seconds since 1970-01-01 00:00:00],conc_epi_min[g.m-3],conc_epi_max[g.m-3],conc_hypo_min[g.m-3],conc_hypo_max[g.m-3]
2025-08-04 12:00:00,1754308800.0,7.325e-07,7.325e-06,1.964e-07,1.964e-06
2025-08-05 12:00:00,1754395200.0,7.510e-07,7.510e-06,2.062e-07,2.062e-06
2025-08-06 12:00:00,1754481600.0,7.696e-07,7.696e-06,2.161e-07,2.161e-06
2025-08-07 12:00:00,1754568000.0,7.882e-07,7.882e-06,2.262e-07,2.262e-06
2025-08-08 12:00:00,1754654400.0,8.069e-07,8.069e-06,2.365e-07,2.365e-06
2025-08-09 12:00:00,1754740800.0,8.257e-07,8.257e-06,2.469e-07,2.469e-06
2025-08-10 12:00:00,1754827200.0,8.446e-07,8.446e-06,2.574e-07,2.574e-06
2025-08-11 12:00:00,1754913600.0,8.637e-07,8.637e-06,2.681e-07,2.681e-06
2025-08-12 12:00:00,1755000000.0,8.826e-07,8.826e-06,2.790e-07,2.790e-06
2025-08-13 12:00:00,1755086400.0,9.014e-07,9.014e-06,2.900e-07,2.900e-06
2025-08-14 12:00:00,1755172800.0,9.199e-07,9.199e-06,3.012e-07,3.012e-06
2025-08-15 12:00:00,1755259200.0,9.383e-07,9.383e-06,3.125e-07,3.125e-06
2025-08-16 12:00:00,1755345600.0,9.564e-07,9.564e-06,3.239e-07,3.239e-06
2025-08-17 12:00:00,1755432000.0,9.744e-07,9.744e-06,3.354e-07,3.354e-06
2025-08-18 12:00:00,1755518400.0,9.922e-07,9.922e-06,3.471e-07,3.471e-06
2025-08-19 12:00:00,1755604800.0,1.010e-06,1.010e-05,3.588e-07,3.588e-06
2025-08-20 12:00:00,1755691200.0,1.027e-06,1.027e-05,3.707e-07,3.707e-06
2025-08-21 12:00:00,1755777600.0,1.045e-06,1.045e-05,3.827e-07,3.827e-06
2025-08-22 12:00:00,1755864000.0,1.062e-06,1.062e-05,3.948e-07,3.948e-06
2025-08-23 12:00:00,1755950400.0,1.079e-06,1.079e-05,4.069e-07,4.069e-06
2025-08-24 12:00:00,1756036800.0,1.095e-06,1.095e-05,4.192e-07,4.192e-06
2025-08-25 12:00:00,1756123200.0,1.112e-06,1.112e-05,4.315e-07,4.315e-06
2025-08-26 12:00:00,1756209600.0,1.128e-06,1.128e-05,4.439e-07,4.439e-06
2025-08-27 12:00:00,1756296000.0,1.145e-06,1.145e-05,4.564e-07,4.564e-06
2025-08-28 12:00:00,1756382400.0,1.161e-06,1.161e-05,4.690e-07,4.690e-06
2025-08-29 12:00:00,1756468800.0,1.177e-06,1.177e-05,4.816e-07,4.816e-06
2025-08-30 12:00:00,1756555200.0,1.193e-06,1.193e-05,4.943e-07,4.943e-06
2025-08-31 12:00:00,1756641600.0,1.208e-06,1.208e-05,5.070e-07,5.070e-06
2025-09-01 12:00:00,1756728000.0,1.195e-06,1.195e-05,5.198e-07,5.198e-06
2025-09-02 12:00:00,1756814400.0,1.182e-06,1.182e-05,5.321e-07,5.321e-06
2025-09-03 12:00:00,1756900800.0,1.169e-06,1.169e-05,5.440e-07,5.440e-06
2025-09-04 12:00:00,1756987200.0,1.156e-06,1.156e-05,5.554e-07,5.554e-06
2025-09-05 12:00:00,1757073600.0,1.143e-06,1.143e-05,5.663e-07,5.663e-06
2025-09-06 12:00:00,1757160000.0,1.131e-06,1.131e-05,5.769e-07,5.769e-06
2025-09-07 12:00:00,1757246400.0,1.119e-06,1.119e-05,5.870e-07,5.870e-06
2025-09-08 12:00:00,1757332800.0,1.107e-06,1.107e-05,5.967e-07,5.967e-06
2025-09-09 12:00:00,1757419200.0,1.095e-06,1.095e-05,6.060e-07,6.060e-06
2025-09-10 12:00:00,1757505600.0,1.084e-06,1.084e-05,6.149e-07,6.149e-06
2025-09-11 12:00:00,1757592000.0,1.073e-06,1.073e-05,6.235e-07,6.235e-06
2025-09-12 12:00:00,1757678400.0,1.061e-06,1.061e-05,6.317e-07,6.317e-06
2025-09-13 12:00:00,1757764800.0,1.051e-06,1.051e-05,6.395e-07,6.395e-06
2025-09-14 12:00:00,1757851200.0,1.040e-06,1.040e-05,6.470e-07,6.470e-06
2025-09-15 12:00:00,1757937600.0,1.029e-06,1.029e-05,6.542e-07,6.542e-06
2025-09-16 12:00:00,1758024000.0,1.019e-06,1.019e-05,6.610e-07,6.610e-06
2025-09-17 12:00:00,1758110400.0,1.009e-06,1.009e-05,6.676e-07,6.676e-06
2025-09-18 12:00:00,1758196800.0,9.985e-07,9.985e-06,6.738e-07,6.738e-06
2025-09-19 12:00:00,1758283200.0,9.886e-07,9.886e-06,6.797e-07,6.797e-06
2025-09-20 12:00:00,1758369600.0,9.789e-07,9.789e-06,6.853e-07,6.853e-06
2025-09-21 12:00:00,1758456000.0,9.693e-07,9.693e-06,6.907e-07,6.907e-06
2025-09-22 12:00:00,1758542400.0,9.599e-07,9.599e-06,6.958e-07,6.958e-06
2025-09-23 12:00:00,1758628800.0,9.506e-07,9.506e-06,7.006e-07,7.006e-06
2025-09-24 12:00:00,1758715200.0,9.414e-07,9.414e-06,7.052e-07,7.052e-06
2025-09-25 12:00:00,1758801600.0,9.324e-07,9.324e-06,7.095e-07,7.095e-06
2025-09-26 12:00:00,1758888000.0,9.236e-07,9.236e-06,7.135e-07,7.135e-06
2025-09-27 12:00:00,1758974400.0,9.148e-07,9.148e-06,7.174e-07,7.174e-06
2025-09-28 12:00:00,1759060800.0,9.063e-07,9.063e-06,7.210e-07,7.210e-06
2025-09-29 12:00:00,1759147200.0,8.978e-07,8.978e-06,7.243e-07,7.243e-06
2025-09-30 12:00:00,1759233600.0,8.895e-07,8.895e-06,7.275e-07,7.275e-06
