tdate[yyyy-mm-dd HH:MM:SS],time[seconds since 1970-01-01 00:00:00],conc_epi_min[g.m-3],conc_epi_max[g.m-3],conc_hypo_min[g.m-3],conc_hypo_max[g.m-3]
2025-08-04 12:00:00,1754308800.0,5.647e-07,5.647e-06,1.679e-07,1.679e-06
2025-08-05 12:00:00,1754395200.0,5.730e-07,5.730e-06,1.751e-07,1.751e-06
2025-08-06 12:00:00,1754481600.0,5.809e-07,5.809e-06,1.824e-07,1.824e-06
2025-08-07 12:00:00,1754568000.0,5.886e-07,5.886e-06,1.896e-07,1.896e-06
2025-08-08 12:00:00,1754654400.0,5.960e-07,5.960e-06,1.969e-07,1.969e-06
2025-08-09 12:00:00,1754740800.0,6.032e-07,6.032e-06,2.042e-07,2.042e-06
2025-08-10 12:00:00,1754827200.0,6.102e-07,6.102e-06,2.115e-07,2.115e-06
2025-08-11 12:00:00,1754913600.0,6.169e-07,6.169e-06,2.187e-07,2.187e-06
2025-08-12 12:00:00,1755000000.0,6.233e-07,6.233e-06,2.260e-07,2.260e-06
2025-08-13 12:00:00,1755086400.0,6.296e-07,6.296e-06,2.333e-07,2.333e-06
2025-08-14 12:00:00,1755172800.0,6.357e-07,6.357e-06,2.405e-07,2.405e-06
2025-08-15 12:00:00,1755259200.0,6.416e-07,6.416e-06,2.477e-07,2.477e-06
2025-08-16 12:00:00,1755345600.0,6.472e-07,6.472e-06,2.549e-07,2.549e-06
2025-08-17 12:00:00,1755432000.0,6.527e-07,6.527e-06,2.620e-07,2.620e-06
2025-08-18 12:00:00,1755518400.0,6.581e-07,6.581e-06,2.692e-07,2.692e-06
2025-08-19 12:00:00,1755604800.0,6.632e-07,6.632e-06,2.763e-07,2.763e-06
2025-08-20 12:00:00,1755691200.0,6.682e-07,6.682e-06,2.833e-07,2.833e-06
2025-08-21 12:00:00,1755777600.0,6.730e-07,6.730e-06,2.903e-07,2.903e-06
2025-08-22 12:00:00,1755864000.0,6.777e-07,6.777e-06,2.973e-07,2.973e-06
2025-08-23 12:00:00,1755950400.0,6.822e-07,6.822e-06,3.043e-07,3.043e-06
2025-08-24 12:00:00,1756036800.0,6.866e-07,6.866e-06,3.112e-07,3.112e-06
2025-08-25 12:00:00,1756123200.0,6.909e-07,6.909e-06,3.180e-07,3.180e-06
2025-08-26 12:00:00,1756209600.0,6.950e-07,6.950e-06,3.248e-07,3.248e-06
2025-08-27 12:00:00,1756296000.0,6.990e-07,6.990e-06,3.316e-07,3.316e-06
2025-08-28 12:00:00,1756382400.0,7.029e-07,7.029e-06,3.383e-07,3.383e-06
2025-08-29 12:00:00,1756468800.0,7.067e-07,7.067e-06,3.449e-07,3.449e-06
2025-08-30 12:00:00,1756555200.0,7.104e-07,7.104e-06,3.515e-07,3.515e-06
2025-08-31 12:00:00,1756641600.0,7.139e-07,7.139e-06,3.581e-07,3.581e-06
2025-09-01 12:00:00,1756728000.0,6.883e-07,6.883e-06,3.646e-07,3.646e-06
2025-09-02 12:00:00,1756814400.0,6.638e-07,6.638e-06,3.705e-07,3.705e-06
2025-09-03 12:00:00,1756900800.0,6.402e-07,6.402e-06,3.758e-07,3.758e-06
2025-09-04 12:00:00,1756987200.0,6.175e-07,6.175e-06,3.806e-07,3.806e-06
2025-09-05 12:00:00,1757073600.0,5.957e-07,5.957e-06,3.850e-07,3.850e-06
2025-09-06 12:00:00,1757160000.0,5.748e-07,5.748e-06,3.888e-07,3.888e-06
2025-09-07 12:00:00,1757246400.0,5.547e-07,5.547e-06,3.922e-07,3.922e-06
2025-09-08 12:00:00,1757332800.0,5.354e-07,5.354e-06,3.952e-07,3.952e-06
2025-09-09 12:00:00,1757419200.0,5.168e-07,5.168e-06,3.977e-07,3.977e-06
2025-09-10 12:00:00,1757505600.0,4.990e-07,4.990e-06,3.999e-07,3.999e-06
2025-09-11 12:00:00,1757592000.0,4.818e-07,4.818e-06,4.017e-07,4.017e-06
2025-09-12 12:00:00,1757678400.0,4.653e-07,4.653e-06,4.032e-07,4.032e-06
2025-09-13 12:00:00,1757764800.0,4.495e-07,4.495e-06,4.043e-07,4.043e-06
2025-09-14 12:00:00,1757851200.0,4.343e-07,4.343e-06,4.051e-07,4.051e-06
2025-09-15 12:00:00,1757937600.0,4.196e-07,4.196e-06,4.057e-07,4.057e-06
2025-09-16 12:00:00,1758024000.0,4.055e-07,4.055e-06,4.059e-07,4.059e-06
2025-09-17 12:00:00,1758110400.0,3.920e-07,3.920e-06,4.059e-07,4.059e-06
2025-09-18 12:00:00,1758196800.0,3.789e-07,3.789e-06,4.056e-07,4.056e-06
2025-09-19 12:00:00,1758283200.0,3.664e-07,3.664e-06,4.052e-07,4.052e-06
2025-09-20 12:00:00,1758369600.0,3.543e-07,3.543e-06,4.045e-07,4.045e-06
2025-09-21 12:00:00,1758456000.0,3.427e-07,3.427e-06,4.035e-07,4.035e-06
2025-09-22 12:00:00,1758542400.0,3.316e-07,3.316e-06,4.024e-07,4.024e-06
2025-09-23 12:00:00,1758628800.0,3.208e-07,3.208e-06,4.011e-07,4.011e-06
2025-09-24 12:00:00,1758715200.0,3.105e-07,3.105e-06,3.997e-07,3.997e-06
2025-09-25 12:00:00,1758801600.0,3.005e-07,3.005e-06,3.980e-07,3.980e-06
2025-09-26 12:00:00,1758888000.0,2.910e-07,2.910e-06,3.963e-07,3.963e-06
2025-09-27 12:00:00,1758974400.0,2.817e-07,2.817e-06,3.943e-07,3.943e-06
2025-09-28 12:00:00,1759060800.0,2.729e-07,2.729e-06,3.923e-07,3.923e-06
2025-09-29 12:00:00,1759147200.0,2.643e-07,2.643e-06,3.901e-07,3.901e-06
2025-09-30 12:00:00,1759233600.0,2.561e-07,2.561e-06,3.878e-07,3.878e-06
